Hieroglyph,"Gardiner Unicode",Description,Ideogram,Phonogram,Notes
"𓋥","S17 U+132E5",pectoral,"Sparkle, gleam, glitter ( ṯḥn ) Faience ( ṯḥnt ) Malachite ( šsmt )","",""
"𓋦","S17A U+132E6",girdle,"Malachite ( šsmt )","",""
"𓋧","S18 U+132E7","""menat necklace and counterpoise""","Menat ( mnjt )","","Menat necklace"
"𓋨","S19 U+132E8","seal with necklace","Seal ( ḫtm ) Seal-bearer ( sḏꜣwty )","","Seal with necklace"
"𓋩","S20 U+132E9","necklace with seal","Seal ( ḫtm ) Seal-bearer ( sḏꜣwty )","",""
"𓋪","S21 U+132EA",ring,"Ring ( jwꜥw )","",""
"𓋫","S22 U+132EB","shoulder-knot","Shoot ( stj ) Shesmetet ( šsmtt )","sṯ, st, tꜣ-wr",""
"𓋬","S23 U+132EC","two whips with shen ring","Bring together, collect ( dmḏ )","",""
"𓋭","S24 U+132ED","girdle knot","Bind, tie ( ṯs )","ṯs","1. knot; to tie in a knot, fetter; 2. Bil. ṯs"
"𓋮","S25 U+132EE","garment with ties","Foreigner ( ꜣꜥꜥ, jꜥꜣw )","",""
"𓋯","S26 U+132EF",apron,"Shendyt kilt ( šndyt/šnḏyt )","",""
"𓋰","S26A U+132F0",apron,"","",""
"𓋱","S26B U+132F1",apron,"","",""
"𓋲","S27 U+132F2","cloth with two strands","Linen ( mnḫt )","",""
"𓋳","S28 U+132F3","cloth with fringe on top and folded cloth","Clothes, to clothe ( ḥbs ) ' Be naked ( ḥꜣy )","s (Cryptographic)",""
"𓋴","S29 U+132F4","folded cloth","She, her, hers ( .s ) (Suffix pronoun)",s,""
"𓋵","S30 U+132F5","combination of folded cloth and horned viper","",sf,""
"𓋶","S31 U+132F6","combination of folded cloth and sickle","Slaughter ( smꜣ )","smꜣ",""
"𓋷","S32 U+132F7","cloth with fringe on the side","Perceive ( sjꜣ ) Sia ( sjꜣ )","",""
"𓋸","S33 U+132F8",sandal,"Sandal ( ṯb )","",""
"𓋹","S34 U+132F9","life ankh, possibly representing a sandal-strap","Life, to live ( ꜥnḫ )","",""
"𓋺","S35 U+132FA",sunshade,"Shadow, shade, sunshade ( ḫꜣbyt, šwt ) Standard ( sryt )","",""
"𓋻","S35A U+132FB",sunshade,"Shadow, shade, sunshade ( ḫꜣbyt, šwt ) Standard ( sryt )","",""
"𓋼","S36 U+132FC",sunshade,"Shadow, shade, sunshade ( ḫꜣbyt, šwt ) Standard ( sryt )","",""
"𓋽","S37 U+132FD",fan,"Fan ( ḫw ) Protect ( ḫwj )","",""
"𓋾","S38 U+132FE",crook,"Rule, ruler ( ḥqꜣ ) Scepter ( ḥqꜣt )","",""
"𓋿","S39 U+132FF","shepherd's crook","Crook, scepter ( ꜥwt )","",""
"𓌀","S40 U+13300","wꜣs scepter (uꜣs)","Power, dominion ( wꜣs ) Iatet (a milk goddess) ( ỉꜣtt )","","See Was scepter"
"𓌁","S41 U+13301",sceptre,"Electrum ( ḏꜥm )","",""
"𓌂","S42 U+13302","Sekhem scepter","Power, force ( sḫm ) ḫrp-scepter, control, direct ( ḫrp ) ꜥbꜣ-scepter ( ꜥbꜣ )","","see: Sekhem scepter"
"𓌃","S43 U+13303","walking stick","Speak, word(s) ( md(w) ) Staff ( mdw )","",""
"𓌄","S44 U+13304","walking stick with flagellum","Club, mace, ꜣms-scepter ( ꜣms )","",""
"𓌅","S45 U+13305",flagellum,"Flail ( nḫꜣḫꜣ )","",""
"𓌆","S46 U+13306","covering for head and neck","","k (Ptolemaic)",""
"​",T,"","Warfare, hunting, butchery","",""
"𓌇","T1 U+13307","mace with flat head","","",""
"𓌈","T2 U+13308","mace with round head","","",""
"𓌉","T3 U+13309","mace with round head","ḥḏ","","Ideogram , and phonogram for mace, ḥḏ Possibly ancestral to Proto-Sinaitic Waw and its descendants"
"𓌊","T3A U+1330A","combination of mace with round head and two hills","","",""
"𓌋","T4 U+1330B","mace with strap","","",""
"𓌌","T5 U+1330C","combination of mace with round head and cobra","","",""
"𓌍","T6 U+1330D","combination of mace with round head and two cobras","","",""
"𓌎","T7 U+1330E",axe,"","",""
"𓌏","T7A U+1330F",axe,"","",""
"𓌐","T8 U+13310",dagger,tp,"","""top"", or ""first"" ""first"", ""foremost"" Ideogram in tp , tpy ; det. in mtpnt"
"𓌑","T8A U+13311",dagger,"","",""
"𓌒","T9 U+13312",bow,"pḏ","","To stretch, to extend, to be wide"
"𓌓","T9A U+13313",bow,"pḏ","","To stretch, to extend, to be wide"
"𓌔","T10 U+13314","composite bow","","",""
"𓌕","T11 U+13315",arrow,"","",""
"𓌖","T11A U+13316","two crossed arrows","","",""
"𓌗","T12 U+13317",bowstring,"rwḏ","","1. Tril. rwḏ ; Ideo. for ""bowstring"" 2. items that are ""hard, durable, strong, rooted,"" thus ""growth, growing"" 3. (see Pharaoh Rudamun )"
"𓌘","T13 U+13318","joined pieces of wood",rs,"","phonogram , rs"
"𓌙","T14 U+13319","throw stick vertically","","","Possibly ancestral to Proto-Sinaitic Gimel and its descendants."
"𓌚","T15 U+1331A","throw stick slanted","","",""
"𓌛","T16 U+1331B",scimitar,"","",""
"𓌜","T16A U+1331C",scimitar,"","",""
"𓌝","T17 U+1331D",chariot,wrrt,"","Ideogram or det. for chariot"
"𓌞","T18 U+1331E","crook with package attached","","šms","Follower sign"
"𓌟","T19 U+1331F","harpoon head",gn,"","""memorial, record, archive, memorandum""; in plural: ""annals"""
"𓌠","T20 U+13320","harpoon head","","",""
"𓌡","T21 U+13321",harpoon,"wꜥ ( bil. )","","1. ""single"" items; ""1"", 'each', etc.; 2. Bil. wꜥ"
"𓌢","T22 U+13322",arrowhead,sn,"","Bil. sn ; Ideo. for ""arrow"" used for: brother, husband sister, wife ""smell"" touch, grasp 2, ""second"", 'the same'-( twin ), two , both , etc."
"𓌣","T23 U+13323",arrowhead,"","",""
"𓌤","T24 U+13324",fishingnet,"iꜥḥ","","See moon, (also iꜥh ); A. plough, break ground; B. field laborer, peasant; C. field; D. det. in name of a god ""I'h-ur""-(I'h- Great )"
"𓌥","T25 U+13325",float,"ḏb ḏbꜣ","","to supply, furnish with, equip, provide, & to decorate ...(thus the "" life preserver "") see also: seal, ( to seal , ḏbꜥj-t )"
"𓌦","T26 U+13326",birdtrap,"","",""
"𓌧","T27 U+13327",trap,"sḫt","","1. trap, bird-trap, (the device); 2. Ideogram or det. in sḫt , Egyptian ""trap"" and related words"
"𓌨","T28 U+13328","butcher's block","ẖr","","1. Bil. ẖr ; 2. Ideas of items below, (butchered, segmented, then 'owned'); and major use of 'below', or 'under', as a prepositional use"
"𓌩","T29 U+13329","butcher's block with knife","","",""
"𓌪","T30 U+1332A",knife,"šꜥ","",""
"𓌫","T31 U+1332B","knife-sharpener","","","phonogram for  sšm"
"𓌬","T32 U+1332C","combination of knife-sharpener and legs","","",""
"𓌭","T32A U+1332D","combination of knife and folded cloth","","",""
"𓌮","T33 U+1332E","knife-sharpener of butcher","","",""
"𓌯","T33A U+1332F","combination of knife-sharpener and folded cloth","","",""
"𓌰","T34 U+13330","butcher's knife",nm,"","bil. nm"
"𓌱","T35 U+13331","butcher's knife","","",""
"𓌲","T36 U+13332",shield,"","",""
"​",U,"","Agriculture, crafts, and professions","",""
"𓌳","U1 U+13333",sickle,"","",""
"𓌴","U2 U+13334",sickle,"","",""
"𓌵","U3 U+13335","","","",""
"𓌶","U4 U+13336","","","",""
"𓌷","U5 U+13337","","","",""
"𓌸","U6 U+13338","","","","phonogram for ""mr"""
"𓌹","U6A U+13339","","","",""
"𓌺","U6B U+1333A","","","",""
"𓌻","U7 U+1333B",hoe,mr,"","1. bil. mr , for ""beloved"" 2. used in Pharaoh, individuals, other names, etc.: ( Pharaoh XX, Beloved of God/Goddess YY )"
"𓌼","U8 U+1333C","","","",""
"𓌽","U9 U+1333D","","","",""
"𓌾","U10 U+1333E","grain measure (with plural, for grain particles)","dbḥ","",""
"𓌿","U11 U+1333F","","","",""
"𓍀","U12 U+13340","","","",""
"𓍁","U13 U+13341","","","",""
"𓍂","U14 U+13342","","","",""
"𓍃","U15 U+13343","sled (sledge)",tm,"","Bil. tm"
"𓍄","U16 U+13344","sled with jackal head","bjꜣ","","bjꜣ as in wonder or marvel, or Determinative for wnš , sledge."
"𓍅","U17 U+13345","Pick, opening earth","grg gr","","To have, hold, possess; (used in building new town-locations)"
"𓍆","U18 U+13346","","","",""
"𓍇","U19 U+13347","","",nw,""
"𓍈","U20 U+13348","","","",""
"𓍉","U21 U+13349","adze- on-block",stp,"","triliteral , stp , for ""chosen"" often used in Pharaonic cartouche names as: ""Chosen of God XXXX"" , (example: Beloved of Maat, Chosen of Maat )"
"𓍊","U22 U+1334A","clapper-(of-bell) tool/instrument forked-staff, etc.","mnḫ","","1. Determinative for mnḫ , for ""cut"", ""give shape to"" 2. Ideogram in mnḫ , for "" to be excellent "" 3. The grandfather of Ptolemy V of the Rosetta Stone is Ptolemy III Euergetes -(the Canopus Stone ), the ""Well-doer Gods"" -(pharaohs). [ 4 ] Their name is a composition block of two 'God' hieroglyphs-(husband & wife), ( R8 ), , with a chisel at the base of each,"
"𓍋","U23 U+1334B",chisel,"ꜣb mr","","See: Narmer Palette bil. , ꜣb , mr ; (see also for mr , Canal)"
"𓍌","U23A U+1334C","","","",""
"𓍍","U24 U+1334D","hand drill (hieroglyph)","ḥmt","","1. Ideogram in ḥmt , the name for the 'hand drill tool'; also hmt for words of ""art"", ""artisan"", etc. 2. Ideo. or det. for wbꜣ , to 'rise', to 'open'; see: Rise of a Star: wbn :"
"𓍎","U25 U+1334E","","","",""
"𓍏","U26 U+1334F","","","",""
"𓍐","U27 U+13350","","","",""
"𓍑","U28 U+13351","fire-drill","ḏꜣ ( bil. )","","1. bil. ḏꜣ ; Ideogram for ""forest"" Emphatically used with words as ḏꜥḏꜥ constructs 2. (see AUS -(article), and ""Scale-2""-(on list)- wḏꜣ )"
"𓍒","U29 U+13352","","","",""
"𓍓","U29A U+13353","","","",""
"𓍔","U30 U+13354",kiln,"tꜣ","","Bil. tꜣ ; Ideogram for ""potter's kiln"" (for tꜣ , see also Land, tꜣ )"
"𓍕","U31 U+13355","","","",""
"𓍖","U32 U+13356","","","","Determinative for smn , establish, press down, support"
"𓍗","U32A U+13357","","","",""
"𓍘","U33 U+13358","'pestle'-(curved top)",tj,"","Bil. tj"
"𓍙","U34 U+13359","","","",""
"𓍚","U35 U+1335A","","ḫsf","",""
"𓍛","U36 U+1335B","fuller's-club","ḥm ( bil. )","","1. Egyptian biliteral sign ḥm , for a fuller's club; 2. Ideogram for ḥmw , 'washer', and ḥm , slave, servant; phonogram ḥm"
"𓍜","U37 U+1335C","","","",""
"𓍝","U38 U+1335D",scale,"mḫꜣt","","Ideogram and det. for mḫꜣt , ""scale"": see Stand (for Scales)"
"𓍞","U39 U+1335E","","","",""
"𓍟","U40 U+1335F","a support-(to lift)","","wṯs wṯs","1. to lift up, support, etc. 2. see also: wṯs"
"𓍠","U41 U+13360",plummet,"","",""
"𓍡","U42 U+13361",pitchfork,"","",""
"​",V,"","Rope, fibre, baskets, bags, etc.","",""
"𓍢","V1 U+13362","","","","""string, rope"", Egyptian numeral 100"
"𓍣","V1A U+13363","","","","Egyptian numeral 200"
"𓍤","V1B U+13364","","","","Egyptian numeral 300"
"𓍥","V1C U+13365","","","","Egyptian numeral 400"
"𓍦","V1D U+13366","","","","Egyptian numeral 500"
"𓍧","V1E U+13367","","","","Egyptian numeral 600"
"𓍨","V1F U+13368","","","","Egyptian numeral 700"
"𓍩","V1G U+13369","","","","Egyptian numeral 800"
"𓍪","V1H U+1336A","","","","Egyptian numeral 900"
"𓍫","V1I U+1336B","","","","Egyptian numeral 500"
"𓍬","V2 U+1336C","","","",""
"𓍭","V2A U+1336D","","","",""
"𓍮","V3 U+1336E","","","",""
"𓍯","V4 U+1336F",lasso,"wꜣ ( bil. )","","Lasso, for ""cord"", (possibly earlier, a word related to ""lasso"")"
"𓍰","V5 U+13370","","","",""
"𓍱","V6 U+13371","rope-(shape)","šs ( bil. )","","Egyptian biliteral sign šs"
"𓍲","V7 U+13372","rope-(shape)","šn ( bil. )","","Egyptian biliteral sign šn"
"𓍳","V7A U+13373","","","",""
"𓍴","V7B U+13374","","","",""
"𓍵","V8 U+13375","","","",""
"𓍶","V9 U+13376","shen ring","","šn","Determinative in šnw , the cartouche"
"𓍷","V10 U+13377",cartouche,"šn rn","","Special uses, (often with inserted name) šn-(shen), ""circle"", ""encircle"", or a 'ring'; later time period usage for ""name"", rn"
"𓍸","V11 U+13378","cartouche-(divided)",dn,"","Ideas of to divide , to exclude , words related to Egyptian language tn , etc."
"𓍹","V11A U+13379","","","",""
"𓍺","V11B U+1337A","","","",""
"𓍻","V11C U+1337B","","","",""
"𓍼","V12 U+1337C","","","",""
"𓍽","V12A U+1337D","","","",""
"𓍾","V12B U+1337E","","","",""
"𓍿","V13 U+1337F","tethering rope","","","Uniliteral ṯ (also written č )"
"𓎀","V14 U+13380","","","",""
"𓎁","V15 U+13381","tethering rope w/ walking legs","jṯj","","to take possession of, seize, carry off, conquer, acquire"
"𓎂","V16 U+13382","cattle hobble ( bil. )","sꜣ","","bil. sꜣ ; equivalent of Gardiner V17 , also sꜣ , (see also: tethering rope )"
"𓎃","V17 U+13383",lifesaver,"sꜣ ( bil. )","","bil. sꜣ ; equivalent of Gardiner V16 , also sꜣ , (see also: tethering rope )"
"𓎄","V18 U+13384","","","",""
"𓎅","V19 U+13385","","","",""
"𓎆","V20 U+13386","""cattle hobble""","mḏw (also mḏ)","","Egyptian numeral 10"
"𓎇","V20A U+13387","","","","Egyptian numeral 20"
"𓎈","V20B U+13388","","","","Egyptian numeral 30"
"𓎉","V20C U+13389","","","","Egyptian numeral 40"
"𓎊","V20D U+1338A","","","","Egyptian numeral 50"
"𓎋","V20E U+1338B","","","","Egyptian numeral 60"
"𓎌","V20F U+1338C","","","","Egyptian numeral 70"
"𓎍","V20G U+1338D","","","","Egyptian numeral 80"
"𓎎","V20H U+1338E","","","","Egyptian numeral 90"
"𓎏","V20I U+1338F","","","","Egyptian numeral 20"
"𓎐","V20J U+13390","","","","Egyptian numeral 30"
"𓎑","V20K U+13391","","","","Egyptian numeral 40"
"𓎒","V20L U+13392","","","","Egyptian numeral 50"
"𓎓","V21 U+13393","Fetter + Cobra","mḏ, mḏwt","","Deep place, deep, pit, cavern-extending, subterranean shrine, etc."
"𓎔","V22 U+13394",whip,"mḥ","","Bil. mh , (mḥ); (See: similar shaped hieroglyph F30 , water-skin)"
"𓎕","V23 U+13395","","","",""
"𓎖","V23A U+13396","","","",""
"𓎗","V24 U+13397","","","",""
"𓎘","V25 U+13398","""command staff""","wḏ ( bil. )","","to give an order, to command, to decree ; ( bil."
"𓎙","V26 U+13399","","","",""
"𓎚","V27 U+1339A","","","",""
"𓎛","V28 U+1339B","a twisted wick","ḥ","","Uniliteral ḥ ; eternity, or a long time period, (also variations of time periods, with tweaks of the seated man holding renpet -constructs) God Huh ? Possibly ancestral to Proto-Sinaitic Heth and its descendants"
"𓎜","V28A U+1339C","","","",""
"𓎝","V29 U+1339D","(fiber) swab (straw broom)","sq, ḫsr wꜣḥ bil. - tril. bil. sq ( tril. wꜣḥ","","1. Biliteral sq ; ""to clean"", ""dust""; 2. Triliteral wꜣḥ"
"𓎞","V29A U+1339E","","","",""
"𓎟","V30 U+1339F","basket (hieroglyph)","nb ( bil. )","","Egyptian for ""everything"" , every ; major use: ""Lord"" , (or feminine, Lady ) Bil. nb Ideogram for basket: master , lord"
"𓎠","V30A U+133A0","","","",""
"𓎡","V31 U+133A1","basket- with-handle (hieroglyph)","k ( unil. )","","Unil. k"
"𓎢","V31A U+133A2","","","",""
"𓎣","V32 U+133A3","","","",""
"𓎤","V33 U+133A4","","","",""
"𓎥","V33A U+133A5","","","",""
"𓎦","V34 U+133A6","","","",""
"𓎧","V35 U+133A7","","","",""
"𓎨","V36 U+133A8","doubled container (or-added-glyphs) many spellings","ḥnty","","Period of 120 years ; in translation: ""for..'henti years'""; from, ḥn-t , border, boundary, end, limit, frontier, etc."
"𓎩","V37 U+133A9","","","",""
"𓎪","V37A U+133AA","","","",""
"𓎫","V38 U+133AB","","","",""
"𓎬","V39 U+133AC","?stylized ankh (for Isis )(?)","ṯt tyet","","Tyet , Knot of Isis , Girdle of Isis"
"𓎭","V40 U+133AD","","","",""
"𓎮","V40A U+133AE","","","",""
"​",W,"","Vessels of stone and earthenware","",""
"𓎯","W1 U+133AF","Oil jar","Ointment (mrḥt), oil","",""
"𓎰","W2 U+133B0","Oil-jar without ties","Bas-container (bꜣs)","bꜣs",""
"𓎱","W3 U+133B1","alabaster basin","alabaster (šs), festival (ḥꜣb)","sš","festival (Equivalent to Gardiner W4 , Jubilee Pavilion (hieroglyph) ) det. in sš , 'alabaster', or ""precious stone""; det. in hb abbreviation for ḥbt in ""ritual book"" ḥrj-ḥbt"
"𓎲","W3A U+133B2","alabaster basin","","",""
"𓎳","W4 U+133B3","festival chamber, (the tail is also vertical 'Great': ꜥꜣ )","festival (ḥb)","Sṯ","Sed festival"
"𓎴","W5 U+133B4","","","","Abbreviation for Lector Priest"
"𓎵","W6 U+133B5","Metal vessel","boiler (wḥꜣt)","",""
"𓎶","W7 U+133B6","Granite Bowl","red granite (mꜣṯ)","mꜣṯ",""
"𓎷","W8 U+133B7","Granite Bowl","red granite (mꜣṯ)","",""
"𓎸","W9 U+133B8","stone jug","Nechnem-oil (nḥnm)","ḥnm",""
"𓎹","W9A U+133B9","","","",""
"𓎺","W10 U+133BA",cup,"determinative for goblet (jꜥb)","wsḫ, sẖw","A. Determinative for the ""vessel"", Egyptian language , jꜥb -(no. 5 of 6); det. for jꜥb (1 & 2), 1: to approach, to come towards, to meet; 2: ""to present a gift"", to make an offering, 'an offering'; B. jꜥ, jꜥj , bathing; jꜥw , food, morning meal; jꜥb -(no. 3 of 6), uses Gardiner F16 , as det. for ""to comb""; the other use of 'to comb', is for 'to card  wool' and also uses the Horn hieroglyph, but is the equivalent word:  b'-(no. 2, of 3); (no. 1 is a vessel, bowl, but made of ""copper"", etc.)"
"𓎻","W10A U+133BB",Pot,"","bꜣ (rarely)",""
"𓎼","W11 U+133BC","Jar stand","seat (nst)",g,""
"𓎽","W12 U+133BD","Jar stand","seat (nst)",g,""
"𓎾","W13 U+133BE",pot,"Heset-pitcher, Senbet-pitcher (snbt) or similar containers","",""
"𓎿","W14 U+133BF","water jar","side area (jmw), side (gs)","m, m, gs","Bil. ḥs"
"𓏀","W14A U+133C0","water jar with water","","",""
"𓏁","W15 U+133C1","water jar with rack","clean (qbḥ) (only Ideogram)","",""
"𓏂","W16 U+133C2","water jar with rack","Libation (qbḥ), (qbb)","",""
"𓏃","W17 U+133C3","water jar with rack","water pitchers in the stand (ḫntw), first ḫnt (j)","ḫnt",""
"𓏄","W17A U+133C4","","","",""
"𓏅","W18 U+133C5","water jar with rack","water pitchers in the stand (ḫntw), first ḫnt (j)","ḫnt",""
"𓏆","W18A U+133C6","","","",""
"𓏇","W19 U+133C7","Milk jug with handle",mj,"","1. like, as, according to, inasmuch as, since, as well as, together with; all adverbial forms, some as a segue ; 2. early forms use other hieroglyphs; 3. Egyptian: mjtj and mjtt relate to ""image"" or ""likeness"": likeness, copy, resemblance, statue, image, similitude, the like etc."
"𓏈","W20 U+133C8","Milk jug with cover","milk (jrṯt), milk container and contents","",""
"𓏉","W21 U+133C9","Wine jars","wine (jrp)","","Determinative in jrp , ""wine"""
"𓏊","W22 U+133CA","Beer jug","beer (ḥnqt), containers and its contents, tribute (jnw), victim, attendant (wdpw)","",""
"𓏋","W23 U+133CB","Beer jug","ontainer (qrḥt), containers and their contents","",""
"𓏌","W24 U+133CC",Pot,"nw, jn * (accompanies the signs Aa-27 and Aa-28) get (jnj)","nw qd ( bil. )-nw","Phoneme for nw ; det. for qd , construct, mold; (see: ḥnk , Arm-with-nu-pot)"
"𓏍","W24A U+133CD","three pots","","",""
"𓏎","W25 U+133CE","Pot with legs",jnj,"","fetch ( jnj )"
"​",X,"","Loaves and cakes","",""
"𓏏","X1 U+133CF","loaf of bread",t,"","Uniliteral for ""t"""
"𓏐","X2 U+133D0","","","",""
"𓏑","X3 U+133D1","","","",""
"𓏒","X4 U+133D2","","","","1. Determinative for 'cake' or 'reward', fḳꜣ"
"𓏓","X4A U+133D3","","","",""
"𓏔","X4B U+133D4","","","",""
"𓏕","X5 U+133D5","","","",""
"𓏖","X6 U+133D6","loaf-with-decoration","pꜣt ( phoneme pꜣ )","","1. Determinative for the 'decorated bread loaf', pꜣt ; phoneme for pꜣ ; meanings of: stuff, matter, substance; for 'bread': dough, cake, bread, offering, food, product; 2. for the ""primordial god(s)"": ""Pauti"", (or) (many spelling versions)"
"𓏗","X6A U+133D7","","","",""
"𓏘","X7 U+133D8","","","",""
"𓏙","X8 U+133D9","cone- shaped bread","ḏj","","Ideogram for ḏi , rḏj , give, given, to give; (an equivalent to arm offering conical ""loaf"" ), Gardiner D37 , In iconography and reliefs , used for pharaonic statements: ""Given, Life, Power...Forever"" -(the vertical form of 'to give')"
"𓏚","X8A U+133DA","","","",""
"​",Y,"","Writings, games, music","",""
"𓏛","Y1 U+133DB","papyrus roll","papyrus scroll, book (mḏꜣt)","mḏꜣ-t mḏꜣt","Determinative for terms connected with writing , or 'abstract' concepts"
"𓏜","Y1A U+133DC","","","","(as above, but vertical)"
"𓏝","Y2 U+133DD","","papyrus scroll, book (mḏꜣt)","","Old Kingdom variation of Y1"
"𓏞","Y3 U+133DE","Scribe's equipment","to write; writing; to become finely ground","zẖꜣ; nꜥꜥ",""
"𓏟","Y4 U+133DF","Scribe's equipment","(as above)","","Rarer alternative of Y3"
"𓏠","Y5 U+133E0","Senet board","",mn,"Extensive dictionary entries beginning at ""Mn""-(or men), since the definitions center around permanence , enduring , etc. A common Pharaonic epithet was: Mn-Kheper-Ra , but many names using ""mn"" as a name component"
"𓏡","Y6 U+133E1","game piece","game figure (jbꜣ) abbreviation for dancer (jbꜣ)","jbꜣ","1. Ideogram or det. in ibꜣ , ""pawn"", draughtsman; phoneme for ibꜣ; 2. Det. for ibꜣu , ibꜣ , dance [of the gods]; also dancer, dancing man, etc."
"𓏢","Y7 U+133E2",harp,harp,bjnt,"Determinative in bjnt , "" arched harp ""; (see article Medamud for relief usage)"
"𓏣","Y8 U+133E3",Sistrum,"Sistrum (sššt)","sš, sššt (also sḫm)","A. Ideo. for ""sistrum"", sššt , (or sḫm (=sistrum)); det. in sššt ; B. sḫm is Egyptian for 'power', (confer with Sekhem scepter -(list sḫm ) and Medamud -(article))"
"​",Z,"","Strokes, signs derived from Hieratic, geometrical features","",""
"𓏤","Z1 U+133E4","Single stroke","singularity, Egyptian numeral 1","","Indicates that the prior sign is an Ideogram as if it had no feminine ending; can stand as an abundance stroke at empty places"
"𓏥","Z2 U+133E5","Plural stroke (horizontal)","","","Plural, majority, collective concept (e.g. meat, jwf)"
"𓏦","Z2A U+133E6","","","","Can be used as a replacement for signs perceived to be dangerous to actually write"
"𓏧","Z2B U+133E7","","","",""
"𓏨","Z2C U+133E8","","","",""
"𓏩","Z2D U+133E9","","","",""
"𓏪","Z3 U+133EA","plural strokes (vertical)","","","Can be used as a replacement for signs perceived to be dangerous to actually write"
"𓏫","Z3A U+133EB","","","",""
"𓏬","Z3B U+133EC","","","",""
"𓏭","Z4 U+133ED","Dual stroke","Egyptian numeral 2, plural, majority, collective concept (e.g. meat, jwf ), duality","for j (y) (only if ending sounds like a dual ending)","Can be used as a replacement for signs perceived to be dangerous to actually write"
"𓏮","Z4A U+133EE","","","","Egyptian numeral 2"
"𓏯","Z5 U+133EF","Diagonal stroke (from hieratic )","","","Can be used as a replacement for signs perceived to be dangerous to actually write"
"𓏰","Z5A U+133F0","","","",""
"𓏱","Z6 U+133F1","Substitute for various human figures","for death, die (mwt)","",""
"𓏲","Z7 U+133F2","coil (hieratic equivalent)","","w (or u )","unil. , equivalent of unil. w , the quail chick , ; Both chick and coil are used for plural , the w , (or u ) (see also: Plural)"
"𓏳","Z8 U+133F3",Oval,"round (šnw)","",""
"𓏴","Z9 U+133F4","Crossed diagonal sticks","destroy (ḥḏj), break, divide (wpj), over load (ḏꜣj), cross, meet","swꜣ, sḏ, ḫbs, šbn, wp, wr","Possibly ancestral to Proto-Sinaitic Taw and its descendants"
"𓏵","Z10 U+133F5","Crossed diagonal sticks","destroy (ḥḏj), break, divide (wpj), over load (ḏꜣj), cross, meet","swꜣ, sḏ, ḫbs, šbn, wp, wr","Determinative for ""break, divide"" (wpj), ""over load"" (ḏꜣj), ""cross, meet"""
"𓏶","Z11 U+133F6","two planks crossed and joined","",imi,""
"𓏷","Z12 U+133F7","","","",""
"𓏸","Z13 U+133F8","","","",""
"𓏹","Z14 U+133F9","","","",""
"𓏺","Z15 U+133FA","","","","Egyptian numeral 1"
"𓏻","Z15A U+133FB","","","","Egyptian numeral 2"
"𓏼","Z15B U+133FC","","","","Egyptian numeral 3"
"𓏽","Z15C U+133FD","","","","Egyptian numeral 4"
"𓏾","Z15D U+133FE","","","","Egyptian numeral 5"
"𓏿","Z15E U+133FF","","","","Egyptian numeral 6"
"𓐀","Z15F U+13400","","","","Egyptian numeral 7"
"𓐁","Z15G U+13401","","","","Egyptian numeral 8"
"𓐂","Z15H U+13402","","","","Egyptian numeral 9"
"𓐃","Z15I U+13403","","","","Egyptian numeral 5"
"𓐄","Z16 U+13404","","","","Numeral 1 in dates"
"𓐅","Z16A U+13405","","","","Numeral 2 in dates"
"𓐆","Z16B U+13406","","","","Numeral 3 in dates"
"𓐇","Z16C U+13407","","","","Numeral 4 in dates"
"𓐈","Z16D U+13408","","","","Numeral 5 in dates"
"𓐉","Z16E U+13409","","","","Numeral 6 in dates"
"𓐊","Z16F U+1340A","","","","Numeral 7 in dates"
"𓐋","Z16G U+1340B","","","","Numeral 8 in dates"
"𓐌","Z16H U+1340C","","","","Numeral 9 in dates"
"​",Aa,"","Unclassified signs","",""
"𓐍","Aa1 U+1340D","Placenta or sieve","","ḫ",""
"𓐎","Aa2 U+1340E",Pustule,"bodily growths or conditions, disease","",""
"𓐏","Aa3 U+1340F","Pustule with liquid issuing from it","medical or anatomical condition, specifically soft matter or liquid","","Rare alternative for AA2"
"𓐐","Aa4 U+13410","","","bꜣ (rarely)","See § W10"
"𓐑","Aa5 U+13411","Part of steering gear of a ship","hasten (ḥjp), hepet-device (ḥpt)","ḥp (rarely)",""
"𓐒","Aa6 U+13412","","mat (ṯmꜣ)","tmꜣ, ṯmꜣ",""
"𓐓","Aa7 U+13413","A Smiting-Blade",spr,"","Abbreviation for ""smite"" ( spr )"
"𓐔","Aa7A U+13414","","","",""
"𓐕","Aa7B U+13415","","","",""
"𓐖","Aa8 U+13416","Irrigation tunnels","estate (ḏꜣtt)","qn, ḏꜣt, ḏꜣḏꜣt",""
"𓐗","Aa9 U+13417","","rich (ḫwd)","",""
"𓐘","Aa10 U+13418","",drf,"",""
"𓐙","Aa11 U+13419","","Raised platform (ṯntt), platform abbreviation for mꜣꜥ in (mꜣꜥ-ḫrw)","mꜣꜥ and mꜣꜥ in mꜣꜥ-ḫrw",""
"𓐚","Aa12 U+1341A","","Raised platform (ṯntt), platform abbreviation for mꜣꜥ in (mꜣꜥ-ḫrw)","mꜣꜥ",""
"𓐛","Aa13 U+1341B","","side area (jmw), side (gs)","m, m, gs",""
"𓐜","Aa14 U+1341C","","side area (jmw), side (gs)","m, m, gs",""
"𓐝","Aa15 U+1341D","","","jm, m, gs",""
"𓐞","Aa16 U+1341E","","side (gs)",gs,""
"𓐟","Aa17 U+1341F","","back (sꜣ)","sꜣ",""
